site,site_type,zone,latitude,longitude
REC_10,INCIP,Deep,36.5325268,-121.9292116
REC_10,INCIP,Shallow,36.532849,-121.928712
REC_05,FOR,Deep,36.5376231,-121.9345361
REC_05,FOR,Shallow,36.5388049,-121.9342447
REC_05,INCIP,Deep,36.539705,-121.934532
REC_05,INCIP,Shallow,36.539875,-121.934023
REC_05,BAR,Deep,36.54188,-121.93669
REC_05,BAR,Shallow,36.541943,-121.935035
REC_04,BAR,Shallow,36.54617,-121.93602
REC_04,BAR,Deep,36.5473577,-121.9363094
REC_04,INCIP,Shallow,36.5484324,-121.9340392
REC_04,INCIP,Deep,36.5486309,-121.9343608
REC_04,FOR,Shallow,36.549686,-121.934029
REC_04,FOR,Deep,36.5497336,-121.9349324
REC_03,INCIP,Deep,36.55833,-121.94007
REC_02,FOR,Deep,36.5596399,-121.951263
REC_02,FOR,Shallow,36.560058,-121.951733
REC_03,INCIP,Shallow,36.560242,-121.940061
REC_03,FOR,Deep,36.56113,-121.94385
REC_02,BAR,Deep,36.5612005,-121.9568628
REC_03,FOR,Shallow,36.561389,-121.944264
REC_02,BAR,Shallow,36.561447,-121.9563
REC_03,BAR,Shallow,36.562458,-121.946442
REC_03,BAR,Deep,36.56247,-121.94704
REC_02,INCIP,Deep,36.5634771,-121.9602226
REC_02,INCIP,Shallow,36.5639831,-121.9590793
REC_01,BAR,Deep,36.56539,-121.964024
REC_01,BAR,Shallow,36.5659048,-121.9630671
REC_01,INCIP,Deep,36.567289100000004,-121.9685093
REC_01,INCIP,Shallow,36.568411,-121.970656
REC_01,FOR,Deep,36.571906,-121.973768
REC_01,FOR,Shallow,36.572104,-121.972626
REC_11,FOR,Deep,36.5549737,-121.9376022
REC_11,FOR,Shallow,36.5552646,-121.9356244
REC_12,BAR,Deep,36.5606864,-121.9458376
REC_12,BAR,Shallow,36.561096,-121.945425
REC_13,BAR,Deep,36.561251,-121.947136
REC_14,FOR,Shallow,36.56126,-121.945361
REC_07,FOR,Shallow,36.619124,-121.89979
REC_07,FOR,Deep,36.6194138,-121.8993314
REC_07,INCIP,Shallow,36.6225748,-121.9061174
REC_07,INCIP,Deep,36.6229986,-121.906383
REC_07,BAR,Shallow,36.62418,-121.91117
REC_07,BAR,Deep,36.62465,-121.9105
REC_06,FOR,Shallow,36.629106,-121.919381
REC_06,FOR,Deep,36.6294184,-121.9186068
REC_06,BAR,Deep,36.6373196,-121.9229305
REC_06,BAR,Shallow,36.6373278,-121.9244024
REC_06,INCIP,Shallow,36.6395,-121.932631
REC_06,INCIP,Deep,36.6398022,-121.9325962
